Cultivar;Quantidade (Kg);Year;Category;Subcategory
TINTAS;10.448.228;1970;Processamento;Viniferas
Alicante Bouschet;-;1970;Processamento;Viniferas
Ancelota;-;1970;Processamento;Viniferas
Aramon;-;1970;Processamento;Viniferas
Alfrocheiro;-;1970;Processamento;Viniferas
Arinarnoa;-;1970;Processamento;Viniferas
Aspirant Bouschet;-;1970;Processamento;Viniferas
Barbera;4.548.313;1970;Processamento;Viniferas
Bonarda;1.631.610;1970;Processamento;Viniferas
Cabernet Franc;238.837;1970;Processamento;Viniferas
Cabernet Sauvignon;-;1970;Processamento;Viniferas
Caladoc;-;1970;Processamento;Viniferas
Campanario;-;1970;Processamento;Viniferas
Canaiolo;596.766;1970;Processamento;Viniferas
Carignan;-;1970;Processamento;Viniferas
Carmenere;1.235;1970;Processamento;Viniferas
Castelão;-;1970;Processamento;Viniferas
Corvina;-;1970;Processamento;Viniferas
Croatina;-;1970;Processamento;Viniferas
Cinsaut;-;1970;Processamento;Viniferas
Dom Felder;-;1970;Processamento;Viniferas
Dolcetto;-;1970;Processamento;Viniferas
Durif;-;1970;Processamento;Viniferas
Egiodola;-;1970;Processamento;Viniferas
Ekigaina;-;1970;Processamento;Viniferas
Festival (Sugraone);-;1970;Processamento;Viniferas
Franconia;-;1970;Processamento;Viniferas
Freisa;1.661;1970;Processamento;Viniferas
Gamay St Romain;-;1970;Processamento;Viniferas
Gamay Beaujolais;-;1970;Processamento;Viniferas
Grand Noir;-;1970;Processamento;Viniferas
Grenache;19.753;1970;Processamento;Viniferas
Jaen;-;1970;Processamento;Viniferas
Lagrein;-;1970;Processamento;Viniferas
Lambrusco;2.259;1970;Processamento;Viniferas
Malbec;4.097;1970;Processamento;Viniferas
Marzemina;62.546;1970;Processamento;Viniferas
Merlot;185.596;1970;Processamento;Viniferas
Marselan;-;1970;Processamento;Viniferas
Mistura de uvas viníferas tinto;-;1970;Processamento;Viniferas
Molinera;-;1970;Processamento;Viniferas
Montepulciano;-;1970;Processamento;Viniferas
Moscato Bailey;-;1970;Processamento;Viniferas
Napa Gamay;-;1970;Processamento;Viniferas
Nebbiolo;-;1970;Processamento;Viniferas
Petit Verdot;-;1970;Processamento;Viniferas
Petite Sirah;-;1970;Processamento;Viniferas
Pinotage;-;1970;Processamento;Viniferas
Pinot Noir;-;1970;Processamento;Viniferas
Pinot Saint George;-;1970;Processamento;Viniferas
Piriquita;-;1970;Processamento;Viniferas
Primitivo;-;1970;Processamento;Viniferas
Rebo;-;1970;Processamento;Viniferas
Refosco;-;1970;Processamento;Viniferas
Rondinella;-;1970;Processamento;Viniferas
Ruby Cabernet;-;1970;Processamento;Viniferas
Sangiovese;27.566;1970;Processamento;Viniferas
Saperavi;-;1970;Processamento;Viniferas
Sira (falsa);3.127.989;1970;Processamento;Viniferas
Tannat;-;1970;Processamento;Viniferas
Tempranillo;-;1970;Processamento;Viniferas
Teroldego;-;1970;Processamento;Viniferas
Torrontes;-;1970;Processamento;Viniferas
Tinta Barroca;-;1970;Processamento;Viniferas
Tinta Roriz;-;1970;Processamento;Viniferas
Touriga Francesa;-;1970;Processamento;Viniferas
Touriga Nacional;-;1970;Processamento;Viniferas
Tinta Madeira;-;1970;Processamento;Viniferas
Tintoria;-;1970;Processamento;Viniferas
Trincdeira;-;1970;Processamento;Viniferas
Trousseau;-;1970;Processamento;Viniferas
Zinfandel;-;1970;Processamento;Viniferas
Outras1;-;1970;Processamento;Viniferas
BRANCAS E ROSADAS;18.858.541;1970;Processamento;Viniferas
Aliatico;-;1970;Processamento;Viniferas
Aligote;530;1970;Processamento;Viniferas
Altesse;-;1970;Processamento;Viniferas
Alvarinho;-;1970;Processamento;Viniferas
Arriloba;-;1970;Processamento;Viniferas
Auxerrois;-;1970;Processamento;Viniferas
Burger;-;1970;Processamento;Viniferas
Chardonnay;-;1970;Processamento;Viniferas
Chasselas;-;1970;Processamento;Viniferas
Chenin Blanc;-;1970;Processamento;Viniferas
Clairette(1);146.617;1970;Processamento;Viniferas
Colombard;-;1970;Processamento;Viniferas
Flora;-;1970;Processamento;Viniferas
Garganega;-;1970;Processamento;Viniferas
Gewurztraminer;-;1970;Processamento;Viniferas
Gouveio;-;1970;Processamento;Viniferas
Gros Manseng;-;1970;Processamento;Viniferas
Italia (Pirovano 65) (PE);-;1970;Processamento;Viniferas
Maccabeo;-;1970;Processamento;Viniferas
Malvasia;878.012;1970;Processamento;Viniferas
Malvasia Amarela;-;1970;Processamento;Viniferas
Malvasia Bianca;-;1970;Processamento;Viniferas
Malvasia Chianti;-;1970;Processamento;Viniferas
Malvasia Verde;-;1970;Processamento;Viniferas
Malvasia di Candia;-;1970;Processamento;Viniferas
Malvasia Istriana;-;1970;Processamento;Viniferas
Mistura de uvas viníferas branco;-;1970;Processamento;Viniferas
Mistura de uvas viníferas rosado;-;1970;Processamento;Viniferas
Moscato Branco;5.772.931;1970;Processamento;Viniferas
Moscato Canelli;-;1970;Processamento;Viniferas
Moscato Giallo;-;1970;Processamento;Viniferas
Moscato Nazareno;-;1970;Processamento;Viniferas
Moscato Bianco R2;-;1970;Processamento;Viniferas
Moscato de Alexandria;-;1970;Processamento;Viniferas
Moscato Rosado;-;1970;Processamento;Viniferas
Muscat à Petits Grains;-;1970;Processamento;Viniferas
Muller Thurgau;-;1970;Processamento;Viniferas
Muscadelle;-;1970;Processamento;Viniferas
Ora;-;1970;Processamento;Viniferas
Palomino;-;1970;Processamento;Viniferas
Petit Manseng;-;1970;Processamento;Viniferas
Peverella;2.084.128;1970;Processamento;Viniferas
Pinot Blanc;4.000;1970;Processamento;Viniferas
Pinot Gris;-;1970;Processamento;Viniferas
Prosecco;-;1970;Processamento;Viniferas
Red Veltliner;-;1970;Processamento;Viniferas
Riesling Italico;413.149;1970;Processamento;Viniferas
Riesling Renano;-;1970;Processamento;Viniferas
Sauvignon Blanc(2);2.819;1970;Processamento;Viniferas
Sauvignon Gris;-;1970;Processamento;Viniferas
Seara Nova;-;1970;Processamento;Viniferas
Semillon;1.916;1970;Processamento;Viniferas
Schonburger;-;1970;Processamento;Viniferas
Sylvaner;-;1970;Processamento;Viniferas
Tocai Friulano;-;1970;Processamento;Viniferas
Trebbiano;7.277.270;1970;Processamento;Viniferas
Trebbiano Toscano;-;1970;Processamento;Viniferas
Verdea;-;1970;Processamento;Viniferas
Verdelho;-;1970;Processamento;Viniferas
Verdiso;7.950;1970;Processamento;Viniferas
Vermentino;20.461;1970;Processamento;Viniferas
Vernaccia;122.467;1970;Processamento;Viniferas
Viogner;-;1970;Processamento;Viniferas
Viognier;-;1970;Processamento;Viniferas
Outras(3);2.126.291;1970;Processamento;Viniferas
Total;29.306.769;1970;Processamento;Viniferas
TINTAS;284.285.642;1970;Processamento;Americanas_e_hibridas
Bacarina;82.899;1970;Processamento;Americanas_e_hibridas
Bailey;-;1970;Processamento;Americanas_e_hibridas
Bordo;7.242.197;1970;Processamento;Americanas_e_hibridas
Bourdin (S);-;1970;Processamento;Americanas_e_hibridas
BRS Carmen;-;1970;Processamento;Americanas_e_hibridas
BRS Cora;-;1970;Processamento;Americanas_e_hibridas
BRS Magna;-;1970;Processamento;Americanas_e_hibridas
BRS Margot;-;1970;Processamento;Americanas_e_hibridas
BRS Morena;-;1970;Processamento;Americanas_e_hibridas
BRS Núbia;-;1970;Processamento;Americanas_e_hibridas
BRS Rúbea;-;1970;Processamento;Americanas_e_hibridas
BRS Violeta;-;1970;Processamento;Americanas_e_hibridas
BRS Vitória;-;1970;Processamento;Americanas_e_hibridas
Champagnon (Champanheta);-;1970;Processamento;Americanas_e_hibridas
Coleções;-;1970;Processamento;Americanas_e_hibridas
Concord;5.407.624;1970;Processamento;Americanas_e_hibridas
Concord clone 30;-;1970;Processamento;Americanas_e_hibridas
Couderc;2.713.692;1970;Processamento;Americanas_e_hibridas
Cynthiana(1);568.653;1970;Processamento;Americanas_e_hibridas
Herbemont;62.053.013;1970;Processamento;Americanas_e_hibridas
IAC 138022;-;1970;Processamento;Americanas_e_hibridas
Isabel;193.840.398;1970;Processamento;Americanas_e_hibridas
Isabel Precoce;-;1970;Processamento;Americanas_e_hibridas
Jacquez;390.593;1970;Processamento;Americanas_e_hibridas
Kyoko;-;1970;Processamento;Americanas_e_hibridas
Landot;134.384;1970;Processamento;Americanas_e_hibridas
Mistura de uvas americanas tinto;-;1970;Processamento;Americanas_e_hibridas
Oberlin;15.682;1970;Processamento;Americanas_e_hibridas
Othello;33.013;1970;Processamento;Americanas_e_hibridas
Paco;-;1970;Processamento;Americanas_e_hibridas
Patricia;-;1970;Processamento;Americanas_e_hibridas
Seibel;11.803.494;1970;Processamento;Americanas_e_hibridas
Seibel 2 (seibeleto);-;1970;Processamento;Americanas_e_hibridas
Seyve Willard (Tinta);-;1970;Processamento;Americanas_e_hibridas
Vênus;-;1970;Processamento;Americanas_e_hibridas
BRANCAS E ROSADAS;985.007;1970;Processamento;Americanas_e_hibridas
Baco;4.647;1970;Processamento;Americanas_e_hibridas
Bokay;-;1970;Processamento;Americanas_e_hibridas
BRS Bibiana;-;1970;Processamento;Americanas_e_hibridas
BRS Clara;-;1970;Processamento;Americanas_e_hibridas
BRS Lorena;-;1970;Processamento;Americanas_e_hibridas
Couderc 13;-;1970;Processamento;Americanas_e_hibridas
Delaware;22.705;1970;Processamento;Americanas_e_hibridas
Dona Zillá;-;1970;Processamento;Americanas_e_hibridas
Dut Chess;-;1970;Processamento;Americanas_e_hibridas
Goethe;311.458;1970;Processamento;Americanas_e_hibridas
IAC;-;1970;Processamento;Americanas_e_hibridas
Juliana;-;1970;Processamento;Americanas_e_hibridas
Martha;15.045;1970;Processamento;Americanas_e_hibridas
Mistura de uvas americanas;-;1970;Processamento;Americanas_e_hibridas
Moscato Embrapa;-;1970;Processamento;Americanas_e_hibridas
Niagara;631.152;1970;Processamento;Americanas_e_hibridas
Niagara Branca;-;1970;Processamento;Americanas_e_hibridas
Niagara Rosada;-;1970;Processamento;Americanas_e_hibridas
Poloske;-;1970;Processamento;Americanas_e_hibridas
Seleções;-;1970;Processamento;Americanas_e_hibridas
Seyve Villard;-;1970;Processamento;Americanas_e_hibridas
Seyve Villard 5276;-;1970;Processamento;Americanas_e_hibridas
Seyve Villard 12375;-;1970;Processamento;Americanas_e_hibridas
Tardia de Caxias;-;1970;Processamento;Americanas_e_hibridas
Outras(2);-;1970;Processamento;Americanas_e_hibridas
Total;285.270.649;1970;Processamento;Americanas_e_hibridas
TINTAS;56.976;1970;Processamento;Uvas_de_mesa
Alphonse Lavallee;31.878;1970;Processamento;Uvas_de_mesa
Moscato de Hamburgo;25.098;1970;Processamento;Uvas_de_mesa
BRANCAS;3.900;1970;Processamento;Uvas_de_mesa
Cardinal;-;1970;Processamento;Uvas_de_mesa
Golden Queen;167;1970;Processamento;Uvas_de_mesa
Patrícia;-;1970;Processamento;Uvas_de_mesa
Perlona;-;1970;Processamento;Uvas_de_mesa
Italia;3.733;1970;Processamento;Uvas_de_mesa
Rubi (Itália, Itália Ro);-;1970;Processamento;Uvas_de_mesa
Total;60.876;1970;Processamento;Uvas_de_mesa
;3.675.463;1970;Processamento;Sem_classificacao
;3.675.463;1970;Processamento;Sem_classificacao
TINTAS;11.012.833;1971;Processamento;Viniferas
Alicante Bouschet;-;1971;Processamento;Viniferas
Ancelota;-;1971;Processamento;Viniferas
Aramon;-;1971;Processamento;Viniferas
Alfrocheiro;-;1971;Processamento;Viniferas
Arinarnoa;-;1971;Processamento;Viniferas
Aspirant Bouschet;-;1971;Processamento;Viniferas
Barbera;3.971.627;1971;Processamento;Viniferas
Bonarda;1.868.929;1971;Processamento;Viniferas
Cabernet Franc;324.924;1971;Processamento;Viniferas
Cabernet Sauvignon;-;1971;Processamento;Viniferas
Caladoc;-;1971;Processamento;Viniferas
Campanario;-;1971;Processamento;Viniferas
Canaiolo;607.921;1971;Processamento;Viniferas
Carignan;11.796;1971;Processamento;Viniferas
Carmenere;18.288;1971;Processamento;Viniferas
Castelão;-;1971;Processamento;Viniferas
Corvina;-;1971;Processamento;Viniferas
Croatina;-;1971;Processamento;Viniferas
Cinsaut;-;1971;Processamento;Viniferas
Dom Felder;-;1971;Processamento;Viniferas
Dolcetto;-;1971;Processamento;Viniferas
Durif;-;1971;Processamento;Viniferas
Egiodola;-;1971;Processamento;Viniferas
Ekigaina;-;1971;Processamento;Viniferas
Festival (Sugraone);-;1971;Processamento;Viniferas
Franconia;-;1971;Processamento;Viniferas
Freisa;1.519;1971;Processamento;Viniferas
Gamay St Romain;-;1971;Processamento;Viniferas
Gamay Beaujolais;-;1971;Processamento;Viniferas
Grand Noir;930;1971;Processamento;Viniferas
Grenache;22.418;1971;Processamento;Viniferas
Jaen;-;1971;Processamento;Viniferas
Lagrein;-;1971;Processamento;Viniferas
Lambrusco;2.670;1971;Processamento;Viniferas
Malbec;4.884;1971;Processamento;Viniferas
Marzemina;66.569;1971;Processamento;Viniferas
Merlot;164.533;1971;Processamento;Viniferas
Marselan;-;1971;Processamento;Viniferas
Mistura de uvas viníferas tinto;-;1971;Processamento;Viniferas
Molinera;-;1971;Processamento;Viniferas
Montepulciano;-;1971;Processamento;Viniferas
Moscato Bailey;-;1971;Processamento;Viniferas
Napa Gamay;-;1971;Processamento;Viniferas
Nebbiolo;-;1971;Processamento;Viniferas
Petit Verdot;-;1971;Processamento;Viniferas
Petite Sirah;-;1971;Processamento;Viniferas
Pinotage;-;1971;Processamento;Viniferas
Pinot Noir;-;1971;Processamento;Viniferas
Pinot Saint George;-;1971;Processamento;Viniferas
Piriquita;-;1971;Processamento;Viniferas
Primitivo;-;1971;Processamento;Viniferas
Rebo;-;1971;Processamento;Viniferas
Refosco;-;1971;Processamento;Viniferas
Rondinella;-;1971;Processamento;Viniferas
Ruby Cabernet;-;1971;Processamento;Viniferas
Sangiovese;59.316;1971;Processamento;Viniferas
Saperavi;-;1971;Processamento;Viniferas
Sira (falsa);3.886.509;1971;Processamento;Viniferas
Tannat;-;1971;Processamento;Viniferas
Tempranillo;-;1971;Processamento;Viniferas
Teroldego;-;1971;Processamento;Viniferas
Torrontes;-;1971;Processamento;Viniferas
Tinta Barroca;-;1971;Processamento;Viniferas
Tinta Roriz;-;1971;Processamento;Viniferas
Touriga Francesa;-;1971;Processamento;Viniferas
Touriga Nacional;-;1971;Processamento;Viniferas
Tinta Madeira;-;1971;Processamento;Viniferas
Tintoria;-;1971;Processamento;Viniferas
Trincdeira;-;1971;Processamento;Viniferas
Trousseau;-;1971;Processamento;Viniferas
Zinfandel;-;1971;Processamento;Viniferas
Outras1;-;1971;Processamento;Viniferas
BRANCAS E ROSADAS;22.168.237;1971;Processamento;Viniferas
Aliatico;-;1971;Processamento;Viniferas
Aligote;1.000;1971;Processamento;Viniferas
Altesse;-;1971;Processamento;Viniferas
Alvarinho;-;1971;Processamento;Viniferas
Arriloba;-;1971;Processamento;Viniferas
Auxerrois;-;1971;Processamento;Viniferas
Burger;-;1971;Processamento;Viniferas
Chardonnay;-;1971;Processamento;Viniferas
Chasselas;-;1971;Processamento;Viniferas
Chenin Blanc;-;1971;Processamento;Viniferas
Clairette(1);116.887;1971;Processamento;Viniferas
Colombard;-;1971;Processamento;Viniferas
Flora;-;1971;Processamento;Viniferas
Garganega;-;1971;Processamento;Viniferas
Gewurztraminer;-;1971;Processamento;Viniferas
Gouveio;-;1971;Processamento;Viniferas
Gros Manseng;-;1971;Processamento;Viniferas
Italia (Pirovano 65) (PE);-;1971;Processamento;Viniferas
Maccabeo;-;1971;Processamento;Viniferas
Malvasia;611.457;1971;Processamento;Viniferas
Malvasia Amarela;-;1971;Processamento;Viniferas
Malvasia Bianca;-;1971;Processamento;Viniferas
Malvasia Chianti;-;1971;Processamento;Viniferas
Malvasia Verde;-;1971;Processamento;Viniferas
Malvasia di Candia;-;1971;Processamento;Viniferas
Malvasia Istriana;-;1971;Processamento;Viniferas
Mistura de uvas viníferas branco;-;1971;Processamento;Viniferas
Mistura de uvas viníferas rosado;-;1971;Processamento;Viniferas
Moscato Branco;5.334.475;1971;Processamento;Viniferas
Moscato Canelli;-;1971;Processamento;Viniferas
Moscato Giallo;-;1971;Processamento;Viniferas
Moscato Nazareno;-;1971;Processamento;Viniferas
Moscato Bianco R2;-;1971;Processamento;Viniferas
Moscato de Alexandria;-;1971;Processamento;Viniferas
Moscato Rosado;-;1971;Processamento;Viniferas
Muscat à Petits Grains;-;1971;Processamento;Viniferas
Muller Thurgau;-;1971;Processamento;Viniferas
Muscadelle;-;1971;Processamento;Viniferas
Ora;-;1971;Processamento;Viniferas
Palomino;-;1971;Processamento;Viniferas
Petit Manseng;-;1971;Processamento;Viniferas
Peverella;2.117.931;1971;Processamento;Viniferas
Pinot Blanc;-;1971;Processamento;Viniferas
Pinot Gris;-;1971;Processamento;Viniferas
Prosecco;-;1971;Processamento;Viniferas
Red Veltliner;-;1971;Processamento;Viniferas
Riesling Italico;404.159;1971;Processamento;Viniferas
Riesling Renano;-;1971;Processamento;Viniferas
Sauvignon Blanc(2);5.492;1971;Processamento;Viniferas
Sauvignon Gris;-;1971;Processamento;Viniferas
Seara Nova;-;1971;Processamento;Viniferas
Semillon;-;1971;Processamento;Viniferas
Schonburger;-;1971;Processamento;Viniferas
Sylvaner;-;1971;Processamento;Viniferas
Tocai Friulano;-;1971;Processamento;Viniferas
Trebbiano;12.225.175;1971;Processamento;Viniferas
Trebbiano Toscano;-;1971;Processamento;Viniferas
Verdea;6.184;1971;Processamento;Viniferas
Verdelho;-;1971;Processamento;Viniferas
Verdiso;770;1971;Processamento;Viniferas
Vermentino;6.097;1971;Processamento;Viniferas
Vernaccia;190.297;1971;Processamento;Viniferas
Viogner;-;1971;Processamento;Viniferas
Viognier;-;1971;Processamento;Viniferas
Outras(3);1.148.313;1971;Processamento;Viniferas
Total;33.181.070;1971;Processamento;Viniferas
TINTAS;193.695.427;1971;Processamento;Americanas_e_hibridas
Bacarina;106.962;1971;Processamento;Americanas_e_hibridas
Bailey;-;1971;Processamento;Americanas_e_hibridas
Bordo;7.227.090;1971;Processamento;Americanas_e_hibridas
Bourdin (S);-;1971;Processamento;Americanas_e_hibridas
BRS Carmen;-;1971;Processamento;Americanas_e_hibridas
BRS Cora;-;1971;Processamento;Americanas_e_hibridas
BRS Magna;-;1971;Processamento;Americanas_e_hibridas
BRS Margot;-;1971;Processamento;Americanas_e_hibridas
BRS Morena;-;1971;Processamento;Americanas_e_hibridas
BRS Núbia;-;1971;Processamento;Americanas_e_hibridas
BRS Rúbea;-;1971;Processamento;Americanas_e_hibridas
BRS Violeta;-;1971;Processamento;Americanas_e_hibridas
BRS Vitória;-;1971;Processamento;Americanas_e_hibridas
Champagnon (Champanheta);-;1971;Processamento;Americanas_e_hibridas
Coleções;-;1971;Processamento;Americanas_e_hibridas
Concord;3.726.469;1971;Processamento;Americanas_e_hibridas
Concord clone 30;-;1971;Processamento;Americanas_e_hibridas
Couderc;2.835.642;1971;Processamento;Americanas_e_hibridas
Cynthiana(1);419.550;1971;Processamento;Americanas_e_hibridas
Herbemont;43.864.620;1971;Processamento;Americanas_e_hibridas
IAC 138022;-;1971;Processamento;Americanas_e_hibridas
Isabel;126.754.464;1971;Processamento;Americanas_e_hibridas
Isabel Precoce;-;1971;Processamento;Americanas_e_hibridas
Jacquez;203.081;1971;Processamento;Americanas_e_hibridas
Kyoko;-;1971;Processamento;Americanas_e_hibridas
Landot;106.917;1971;Processamento;Americanas_e_hibridas
Mistura de uvas americanas tinto;-;1971;Processamento;Americanas_e_hibridas
Oberlin;34.722;1971;Processamento;Americanas_e_hibridas
Othello;106.190;1971;Processamento;Americanas_e_hibridas
Paco;-;1971;Processamento;Americanas_e_hibridas
Patricia;-;1971;Processamento;Americanas_e_hibridas
Seibel;8.309.720;1971;Processamento;Americanas_e_hibridas
Seibel 2 (seibeleto);-;1971;Processamento;Americanas_e_hibridas
Seyve Willard (Tinta);-;1971;Processamento;Americanas_e_hibridas
Vênus;-;1971;Processamento;Americanas_e_hibridas
BRANCAS E ROSADAS;557.294;1971;Processamento;Americanas_e_hibridas
Baco;5.873;1971;Processamento;Americanas_e_hibridas
Bokay;-;1971;Processamento;Americanas_e_hibridas
BRS Bibiana;-;1971;Processamento;Americanas_e_hibridas
BRS Clara;-;1971;Processamento;Americanas_e_hibridas
BRS Lorena;-;1971;Processamento;Americanas_e_hibridas
Couderc 13;-;1971;Processamento;Americanas_e_hibridas
Delaware;22.883;1971;Processamento;Americanas_e_hibridas
Dona Zillá;-;1971;Processamento;Americanas_e_hibridas
Dut Chess;-;1971;Processamento;Americanas_e_hibridas
Goethe;267.549;1971;Processamento;Americanas_e_hibridas
IAC;-;1971;Processamento;Americanas_e_hibridas
Juliana;-;1971;Processamento;Americanas_e_hibridas
Martha;21.972;1971;Processamento;Americanas_e_hibridas
Mistura de uvas americanas;-;1971;Processamento;Americanas_e_hibridas
Moscato Embrapa;-;1971;Processamento;Americanas_e_hibridas
Niagara;239.017;1971;Processamento;Americanas_e_hibridas
Niagara Branca;-;1971;Processamento;Americanas_e_hibridas
Niagara Rosada;-;1971;Processamento;Americanas_e_hibridas
Poloske;-;1971;Processamento;Americanas_e_hibridas
Seleções;-;1971;Processamento;Americanas_e_hibridas
Seyve Villard;-;1971;Processamento;Americanas_e_hibridas
Seyve Villard 5276;-;1971;Processamento;Americanas_e_hibridas
Seyve Villard 12375;-;1971;Processamento;Americanas_e_hibridas
Tardia de Caxias;-;1971;Processamento;Americanas_e_hibridas
Outras(2);-;1971;Processamento;Americanas_e_hibridas
Total;194.252.721;1971;Processamento;Americanas_e_hibridas
TINTAS;43.390;1971;Processamento;Uvas_de_mesa
Alphonse Lavallee;2.333;1971;Processamento;Uvas_de_mesa
Moscato de Hamburgo;41.057;1971;Processamento;Uvas_de_mesa
BRANCAS;16.335;1971;Processamento;Uvas_de_mesa
Cardinal;-;1971;Processamento;Uvas_de_mesa
Golden Queen;8.654;1971;Processamento;Uvas_de_mesa
Patrícia;-;1971;Processamento;Uvas_de_mesa
Perlona;-;1971;Processamento;Uvas_de_mesa
Italia;7.681;1971;Processamento;Uvas_de_mesa
Rubi (Itália, Itália Ro);-;1971;Processamento;Uvas_de_mesa
Total;59.725;1971;Processamento;Uvas_de_mesa
;665.425;1971;Processamento;Sem_classificacao
;665.425;1971;Processamento;Sem_classificacao
TINTAS;10.798.824;1972;Processamento;Viniferas
Alicante Bouschet;-;1972;Processamento;Viniferas
Ancelota;-;1972;Processamento;Viniferas
Aramon;-;1972;Processamento;Viniferas
Alfrocheiro;-;1972;Processamento;Viniferas
Arinarnoa;-;1972;Processamento;Viniferas
Aspirant Bouschet;-;1972;Processamento;Viniferas
Barbera;4.035.482;1972;Processamento;Viniferas
Bonarda;1.875.069;1972;Processamento;Viniferas
Cabernet Franc;572.871;1972;Processamento;Viniferas
Cabernet Sauvignon;-;1972;Processamento;Viniferas
Caladoc;-;1972;Processamento;Viniferas
Campanario;-;1972;Processamento;Viniferas
Canaiolo;552.841;1972;Processamento;Viniferas
Carignan;7.537;1972;Processamento;Viniferas
Carmenere;22.154;1972;Processamento;Viniferas
Castelão;-;1972;Processamento;Viniferas
Corvina;-;1972;Processamento;Viniferas
Croatina;-;1972;Processamento;Viniferas
Cinsaut;-;1972;Processamento;Viniferas
Dom Felder;-;1972;Processamento;Viniferas
Dolcetto;-;1972;Processamento;Viniferas
Durif;-;1972;Processamento;Viniferas
Egiodola;-;1972;Processamento;Viniferas
Ekigaina;-;1972;Processamento;Viniferas
Festival (Sugraone);-;1972;Processamento;Viniferas
Franconia;-;1972;Processamento;Viniferas
Freisa;1.005;1972;Processamento;Viniferas
Gamay St Romain;189;1972;Processamento;Viniferas
Gamay Beaujolais;-;1972;Processamento;Viniferas
Grand Noir;603;1972;Processamento;Viniferas
Grenache;18.488;1972;Processamento;Viniferas
Jaen;-;1972;Processamento;Viniferas
Lagrein;-;1972;Processamento;Viniferas
Lambrusco;100;1972;Processamento;Viniferas
Malbec;-;1972;Processamento;Viniferas
Marzemina;138.699;1972;Processamento;Viniferas
Merlot;198.870;1972;Processamento;Viniferas
Marselan;-;1972;Processamento;Viniferas
Mistura de uvas viníferas tinto;-;1972;Processamento;Viniferas
Molinera;-;1972;Processamento;Viniferas
Montepulciano;-;1972;Processamento;Viniferas
Moscato Bailey;-;1972;Processamento;Viniferas
Napa Gamay;-;1972;Processamento;Viniferas
Nebbiolo;-;1972;Processamento;Viniferas
Petit Verdot;-;1972;Processamento;Viniferas
Petite Sirah;-;1972;Processamento;Viniferas
Pinotage;-;1972;Processamento;Viniferas
Pinot Noir;13.440;1972;Processamento;Viniferas
Pinot Saint George;-;1972;Processamento;Viniferas
Piriquita;-;1972;Processamento;Viniferas
Primitivo;-;1972;Processamento;Viniferas
Rebo;-;1972;Processamento;Viniferas
Refosco;-;1972;Processamento;Viniferas
Rondinella;-;1972;Processamento;Viniferas
Ruby Cabernet;-;1972;Processamento;Viniferas
Sangiovese;62.175;1972;Processamento;Viniferas
Saperavi;-;1972;Processamento;Viniferas
Sira (falsa);3.299.301;1972;Processamento;Viniferas
Tannat;-;1972;Processamento;Viniferas
Tempranillo;-;1972;Processamento;Viniferas
Teroldego;-;1972;Processamento;Viniferas
Torrontes;-;1972;Processamento;Viniferas
Tinta Barroca;-;1972;Processamento;Viniferas
Tinta Roriz;-;1972;Processamento;Viniferas
Touriga Francesa;-;1972;Processamento;Viniferas
Touriga Nacional;-;1972;Processamento;Viniferas
Tinta Madeira;-;1972;Processamento;Viniferas
Tintoria;-;1972;Processamento;Viniferas
Trincdeira;-;1972;Processamento;Viniferas
Trousseau;-;1972;Processamento;Viniferas
Zinfandel;-;1972;Processamento;Viniferas
Outras1;-;1972;Processamento;Viniferas
BRANCAS E ROSADAS;18.073.470;1972;Processamento;Viniferas
Aliatico;-;1972;Processamento;Viniferas
Aligote;1.969;1972;Processamento;Viniferas
Altesse;-;1972;Processamento;Viniferas
Alvarinho;-;1972;Processamento;Viniferas
Arriloba;-;1972;Processamento;Viniferas
Auxerrois;-;1972;Processamento;Viniferas
Burger;-;1972;Processamento;Viniferas
Chardonnay;-;1972;Processamento;Viniferas
Chasselas;13.255;1972;Processamento;Viniferas
Chenin Blanc;-;1972;Processamento;Viniferas
Clairette(1);120.166;1972;Processamento;Viniferas
Colombard;-;1972;Processamento;Viniferas
Flora;-;1972;Processamento;Viniferas
Garganega;-;1972;Processamento;Viniferas
Gewurztraminer;-;1972;Processamento;Viniferas
Gouveio;-;1972;Processamento;Viniferas
Gros Manseng;-;1972;Processamento;Viniferas
Italia (Pirovano 65) (PE);-;1972;Processamento;Viniferas
Maccabeo;-;1972;Processamento;Viniferas
Malvasia;763.732;1972;Processamento;Viniferas
Malvasia Amarela;-;1972;Processamento;Viniferas
Malvasia Bianca;-;1972;Processamento;Viniferas
Malvasia Chianti;-;1972;Processamento;Viniferas
Malvasia Verde;-;1972;Processamento;Viniferas
Malvasia di Candia;-;1972;Processamento;Viniferas
Malvasia Istriana;-;1972;Processamento;Viniferas
Mistura de uvas viníferas branco;-;1972;Processamento;Viniferas
Mistura de uvas viníferas rosado;-;1972;Processamento;Viniferas
Moscato Branco;5.378.768;1972;Processamento;Viniferas
Moscato Canelli;-;1972;Processamento;Viniferas
Moscato Giallo;-;1972;Processamento;Viniferas
Moscato Nazareno;-;1972;Processamento;Viniferas
Moscato Bianco R2;-;1972;Processamento;Viniferas
Moscato de Alexandria;-;1972;Processamento;Viniferas
Moscato Rosado;-;1972;Processamento;Viniferas
Muscat à Petits Grains;-;1972;Processamento;Viniferas
Muller Thurgau;-;1972;Processamento;Viniferas
Muscadelle;-;1972;Processamento;Viniferas
Ora;-;1972;Processamento;Viniferas
